District,Sl.No,District
Andaman and Nicobar,1,Andaman Islands
Andaman and Nicobar,2,Nicobar Islands
Andhra Pradesh,3,Anantapur
Andhra Pradesh,4,Chittoor
Andhra Pradesh,5,Cuddapah
Andhra Pradesh,6,East Godavari
Andhra Pradesh,7,Guntur
Andhra Pradesh,8,Krishna
Andhra Pradesh,9,Kurnool
Andhra Pradesh,10,Nellore
Andhra Pradesh,11,Prakasam
Andhra Pradesh,12,Srikakulam
Andhra Pradesh,13,Vishakhapatnam
Andhra Pradesh,14,Vizianagaram
Andhra Pradesh,15,West Godavari
Arunachal Pradesh,16,Changlang
Arunachal Pradesh,17,East Kameng
Arunachal Pradesh,18,East Siang
Arunachal Pradesh,19,Kurung Kumey
Arunachal Pradesh,20,Lohit
Arunachal Pradesh,21,Lower Dibang Valley
Arunachal Pradesh,22,Lower Subansiri
Arunachal Pradesh,23,Papum Pare
Arunachal Pradesh,24,Tawang
Arunachal Pradesh,25,Tirap
Arunachal Pradesh,26,Upper Dibang Valley
Arunachal Pradesh,27,Upper Siang
Arunachal Pradesh,28,Upper Subansiri
Arunachal Pradesh,29,West Kameng
Arunachal Pradesh,30,West Siang
Assam,31,Barpeta
Assam,32,Bongaigaon
Assam,33,Cachar
Assam,34,Darrang
Assam,35,Dhemaji
Assam,36,Dhuburi
Assam,37,Dibrugarh
Assam,38,Goalpara
Assam,39,Golaghat
Assam,40,Hailakandi
Assam,41,Jorhat
Assam,42,Kamrup
Assam,43,Karbi Anglong
Assam,44,Karimganj
Assam,45,Kokrajhar
Assam,46,Lakhimpur
Assam,47,Marigaon
Assam,48,Nagaon
Assam,49,Nalbari
Assam,50,North Cachar Hills
Assam,51,Sibsagar
Assam,52,Sonitpur
Assam,53,Tinsukia
Bihar,54,Araria
Bihar,55,Aurangabad
Bihar,56,Banka
Bihar,57,Begusarai
Bihar,58,Bhabua
Bihar,59,Bhagalpur
Bihar,60,Bhojpur
Bihar,61,Buxar
Bihar,62,Darbhanga
Bihar,63,Gaya
Bihar,64,Gopalganj
Bihar,65,Jamui
Bihar,66,Jehanabad
Bihar,67,Katihar
Bihar,68,Khagaria
Bihar,69,Kishanganj
Bihar,70,Lakhisarai
Bihar,71,Madhepura
Bihar,72,Madhubani
Bihar,73,Munger
Bihar,74,Muzaffarpur
Bihar,75,Nalanda
Bihar,76,Nawada
Bihar,77,Pashchim Champaran
Bihar,78,Patna
Bihar,79,Purba Champaran
Bihar,80,Purnia
Bihar,81,Rohtas
Bihar,82,Saharsa
Bihar,83,Samastipur
Bihar,84,Saran
Bihar,85,Sheikhpura
Bihar,86,Sheohar
Bihar,87,Sitamarhi
Bihar,88,Siwan
Bihar,89,Supaul
Bihar,90,Vaishali
Chandigarh,91,Chandigarh
Chhattisgarh,92,Bastar
Chhattisgarh,93,Bilaspur
Chhattisgarh,94,Dantewada
Chhattisgarh,95,Dhamtari
Chhattisgarh,96,Durg
Chhattisgarh,97,Janjgir-Champa
Chhattisgarh,98,Jashpur
Chhattisgarh,99,Kanker
Chhattisgarh,100,Kawardha
Chhattisgarh,101,Korba
Chhattisgarh,102,Koriya
Chhattisgarh,103,Mahasamund
